Type;Language Type;Language;Translation Name
ANGELTECHMF;1;Spanish;Angel Tecnológico prestado por HomeServe
ANGELTECHMF;2;Catalan;Angel Tecnológico prestat per HomeServe
ANGELTECHMF;3;Basque;Angel Tecnológico, Homeserve emana
ANGELTECHMF;5;English;Angel Tecnológico provided by HomeServe
MANITASMF;1;Spanish;Asistencia Negocios prestado por HomeServe
MANITASMF;2;Catalan;Asistencia Negocios prestat per HomeServe
MANITASMF;3;Basque;Asistencia Negocios, Homeserve emana
MANITASMF;5;English;Asistencia Negocios provided by HomeServe
ANGELTECHDISC;1;Spanish;Descuento promoción Angel Tecnologico
ANGELTECHDISC;2;Catalan;Descompte promoció Angel Tecnologico
ANGELTECHDISC;3;Basque;Promozio-deskontua Angel Tecnologico
ANGELTECHDISC;5;English;Promotional discount Angel Tecnologico
MANITASDISC;1;Spanish;Descuento promoción Asistencia Negocios
MANITASDISC;2;Catalan;Descompte promoció Asistencia Negocios
MANITASDISC;3;Basque;Promozio-deskontua Asistencia Negocios
MANITASDISC;5;English;Promotional discount Asistencia Negocios

